Content,ID,Timestamp,Length,LengthPalabras,Autor
"@tommcfly i would if i lived in england, but i live in aus ",1564277591,2009-04-20 02:41:34,59,13,rachMcfly
@tommcfly Are you going to be going near Darlington today (NorthEast)? Iï¿½m back at collage now  Be glad youï¿½re not doing AS Biology!,1564449593,2009-04-20 03:32:46,136,23,McFly_Mad
@tommcfly good luck for your tour!! i really wish to come to the uk to watch but atm getting ready to go through a month of o'level hell ,1564487060,2009-04-20 03:43:26,137,28,onetreephil
@tommcfly awww that sucks ,1564498803,2009-04-20 03:46:46,26,4,mcflyfanatic89
@tommcfly lol aww you'll just had to scrounge - gigs and tours have cocked up too still dont have my ticket 4 ur edin gig on friday ,1564660080,2009-04-20 04:27:12,132,27,bex242
"@tommcfly i wish i lived in england then i could c like a zillion of your shows, this is when u dnt like living in Australia  cum bak soon",1564707425,2009-04-20 04:37:56,138,29,jess122
@tommcfly maby some day you will come to make show in israel ?  i sure you gonna enjoy in here to ! ,1564980876,2009-04-20 05:32:58,100,22,keren4562
@tommcfly i wanna see you in a bath ,1565010625,2009-04-20 05:38:16,36,8,jennyjar
"@Tommcfly @ddlovato @mileycyrus .. how do you get a rhythm to a song you write? I've written quite a few songs, but I can't do it  .. ilu",1565189369,2009-04-20 06:08:12,137,28,mileyworld
@tommcfly  you guys are literally a few mins drive away and i cant come to see you. Been to all your other wolves gigs  X,1565645264,2009-04-20 07:14:22,121,25,Naome
"where are @tommcfly, @Dannymcfly, @mcflyharry and the loser kid, @dougiemcfly? twitter gets a bit boring without them ",1565685525,2009-04-20 07:19:47,118,17,catiams
@mcflyharry @tommcfly @dannymcfly @dougiemcfly   GUYS!!  no updates???..miss u all!! ...xx,1573581311,2009-04-21 01:51:21,90,10,iheartuteddie
@tommcfly  GOOD LUCK! i bet it will be amazing- i totally wish i had the money to go to one of the dates ,1573635737,2009-04-21 02:06:44,105,23,its_Dani_x
"@tommcfly Good luck on the tour, not that you need it. i cant come and see any of your shows  bad times       xx",1573647587,2009-04-21 02:10:11,112,23,AbiTheGail
"@tommcfly goodluck on your tour. Play your heart out, Cant wait 4 the next time ur in OZ Hope you have Fun Touring! so whish i was going ",1573793684,2009-04-21 02:53:24,137,28,ThatGirl_LMidd
@tommcfly http://twitpic.com/3pgwv - I wish i was there. I won't be there until like 3 ,1573877323,2009-04-21 03:16:39,87,15,sofiesunshine
"@tommcfly Yeah tom, you are always the one that gets caught on the toliet  ",1574082913,2009-04-21 04:10:39,75,14,McflyGal
@tommcfly McFly has lost me. I'm not a fan of what you are now  Your like all the other music. I miss your old music.,1676961195,2009-05-01 23:53:02,117,25,Kaitylynn1
@tommcfly I wish I could hear mcfly on my radio  we had busted at work today though ,1677355127,2009-05-02 01:39:08,84,17,fletcherxx
@tommcfly ooo starbucks. damn for me not having radio 1 on though ,1677373343,2009-05-02 01:44:44,66,12,naomilouisee
@tommcfly Mmmm im starving and stuck at work   if Tom tour man is with you i have just text him say hi to him it will be so funny  x,1677394900,2009-05-02 01:51:21,132,30,Laraine09
@tommcfly OMG am i ever gonna see u guys! i was down for Mexico and now the Swine Flu! Gah fate is against me  its ok i have dvd's ,1677448888,2009-05-02 02:07:56,131,29,lilann86
"@tommcfly awwwh :') congrates to her (:, and yeaah its weird but its miracles, you wouldnt be here otherwise and then no hero fro us then ",1677817547,2009-05-02 04:08:59,138,26,tashasiian
@tommcfly how are babies made tom? my mum won't tell me ,1677820300,2009-05-02 04:09:51,56,11,joshua_fox
@tommcfly your music helps me when im sad  thanks !,1677892889,2009-05-02 04:32:20,51,10,Haniie
@tommcfly hey tom how did the t4 thing go please reply i would be greatful i never get a reply back  ,1678110567,2009-05-02 05:32:21,101,21,mrschantejones
@tommcfly oh yeah i so wanted to go to t4 but i cant  xx,1678196137,2009-05-02 05:52:39,56,14,ilovedougie
@tommcfly hey tom how did the t4 thing go please reply i would be greatful i never get a reply back  ,1678277121,2009-05-02 06:10:01,101,21,mrschantejones
@tommcfly i missed falling in love on radio 1 &gt; and i haven't yet seen it on the music channels  cannot wait to hear it live in June! ,1678359002,2009-05-02 06:27:00,137,28,BrionyMcFly19
"@tommcfly haha i met dan at my last dream, so funny.. Wish it was true  i'll try to meet you now, ha! Xxx",1684920958,2009-05-02 22:27:47,105,23,luannaan
"@tommcfly i just wanna say that you were such an idiot when you didnt say a word about the fletcher day! i still love you, but im sad ",1685093405,2009-05-02 23:02:25,134,28,mayskywalker
"@tommcfly Ahhh, I tried. But it didn't work..  I'm knackered... but I'm seeing you guys on Tuesday, so I'm HAPPY HAPPY HAPPY  xxx",1685678230,2009-05-03 01:31:19,129,23,LAURENpoynter
@tommcfly TOOOOOOOOOOOOOOM *---------* I luv u and Gio s2s2s2 please Giovanna in Brasil in 29may  xx HAPPY POYNTER'SDAY &amp; HOPPUSDAY,1685838915,2009-05-03 02:21:06,135,20,pri_mcfly
@tommcfly awwww sorry Tom ,1685840878,2009-05-03 02:21:45,26,4,mcflyfanatic89
"@tommcfly Is it really nearly all over already?  It always seems to fly by.  Oh well, that just makes it even closer to the next tour ;)",1685849632,2009-05-03 02:24:33,136,27,PoynterJones
@tommcfly i really wanted to get a t shirt or a hoodie but there was a huge crowd in hammersmith  is there anywhere i can get any? xx,1685863443,2009-05-03 02:29:06,133,28,Quiggersx
@tommcfly i only got a programme in london.  i was getting squashed in the que for the t shirts. ,1685873846,2009-05-03 02:32:14,97,19,Quiggersx
"@tommcfly awwwh, they are mean not giving the hoodies you want  x",1685881110,2009-05-03 02:34:27,65,12,tashasiian
@tommcfly @gfalcone601 TOOOOOOOM *---------* I luv u and Gio s2s2s2 please Giovanna in Brasil in 29may  xx HAPPY POYNTER'SDAY &amp; HOPPUSDAY,1685965371,2009-05-03 03:01:40,141,21,pri_mcfly
@tommcfly i want starbucks today ,1685979129,2009-05-03 03:06:08,33,5,sophieshahla
@tommcfly the merch looks amazing this year! just a shame i havent got any money at all   x,1686037490,2009-05-03 03:25:33,91,18,MegannAliice
@tommcfly umm dunno im dippy lol i aint seen u on t4 yet ,1686064501,2009-05-03 03:34:07,57,13,holly_Dougiemad
"@tommcfly its rather depressing that we dont have a star bucks here, i want one lol and wats even more depressing iv never been to one ",1686066718,2009-05-03 03:34:50,135,26,BBRRIITTTTYY
"@tommcfly hmm, i kind of agree... first thing i ever bought was a singing gizmo. aww. its broken now though ",1686199331,2009-05-03 04:17:10,108,20,Amy_Vee
@tommcfly ah so your all going? why wasnt i invited?  xx,1686232779,2009-05-03 04:27:35,56,11,taylormcfly
@tommcfly Awk  Will you be selling it on the website if it doesn't arrive on time? xox,1686240521,2009-05-03 04:30:01,86,17,WonderlandDream
@Tommcfly  watching you on t4 cant hear it tho as all my family are talking over it ,1686242422,2009-05-03 04:30:28,84,17,sophieede
@tommcfly Please do not dislike Japan ,1686280746,2009-05-03 04:41:54,38,6,mgddth
"smell ya later twitter, muchosss lovosssss @tommcfly have a good lunch...i'm jealous  xxxxxxxxxxx",1686291728,2009-05-03 04:45:12,97,13,sophie111293
@tommcfly  don't go too international! the english will miss you ,1686566149,2009-05-03 05:57:37,65,10,sofiesunshine
@tommcfly WHY DONT YOU REPLY TO ME? XD YOU SHOULD COME TO GERMANY! really  ,1686569411,2009-05-03 05:58:23,75,14,sarahrebecca91
@tommcfly international touring? no wayyyy   xx,1686569849,2009-05-03 05:58:29,47,6,kateyy__
@tommcfly thatss nice  but why you guys dont come in canada for tour?? id love to see you in a show! but i cant ,1686607962,2009-05-03 06:07:02,112,24,dance_milie
@tommcfly international touring? maaan! we'll miss you  but you guys deserve a break from the UK so have fun &amp; tweet all the time ;D xx,1686616249,2009-05-03 06:09:00,139,26,loubeejones
@tommcfly Your life seems really sweet. Have good times on tour bus? Well coz of time difference I'm bout to sleep when your up and about ,1686748369,2009-05-03 06:37:55,138,26,IslandHunnie
@tommcfly OMG! R u guys going to the premiere of Star Trek? I'm going to the midnight showing...too bad they don't have he original cast ,1687177087,2009-05-03 07:59:25,137,25,xFenderChickx
@tommcfly wish i could go see a show of you guys! but i live too far away ,1687797473,2009-05-03 09:36:48,74,17,michellelai720
"@tommcfly  you canceled the concerts here in Brazil? it's because the rumors are saying that you canceled. And please, answer me. ",1688815130,2009-05-03 11:59:13,130,21,melissaborges
@tommcfly I have the biggest craving for crunchy nut thanks to you. ,1694103673,2009-05-04 01:06:03,68,12,fletcherxx
@tommcfly  Why do they say such things   Ruined my happy night. Don't like people D:,1694194270,2009-05-04 01:30:26,84,15,hannahmcfly
"@tommcfly http://twitpic.com/3ttav do you remember from blackpool? hope you saw it, but you didnt read it out!  boohoo. lots of love!! xxx",1695918019,2009-05-04 07:13:53,138,22,Fletcher_Ox
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1751429131,2009-05-09 19:25:46,134,26,marianaguidifly
@tommcfly please reply tom  we need your help!!! please please tommy please ,1753609487,2009-05-10 02:30:17,76,12,only91
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1753964503,2009-05-10 04:20:46,134,26,marianaguidifly
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1753982295,2009-05-10 04:25:59,134,26,marianaguidifly
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1753995459,2009-05-10 04:29:56,134,26,marianaguidifly
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1754023196,2009-05-10 04:37:24,134,26,marianaguidifly
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1754040788,2009-05-10 04:42:20,134,26,marianaguidifly
"@tommcfly OMGhow hot was it last night  , i fancied that coke that came with pizza lol,  tbh i think every1 did",1754087452,2009-05-10 04:55:13,111,22,thombum
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1754130579,2009-05-10 05:06:11,134,26,marianaguidifly
"@tommcfly hi tom! I miss when you spoke Portuguese in google translate! I love you so much man! Please, answer me! I need you man!  xx",1754201344,2009-05-10 05:23:33,134,26,marianaguidifly
@tommcfly lol!! wish i could see u!!  xxx,1754325005,2009-05-10 05:52:17,41,8,Xx_McFLY_xX
"@tommcfly I cant belive this time last sunday i would've been gatehanging for you, i miss you ",1754326360,2009-05-10 05:52:35,94,17,brookedanielle_
@tommcfly I cant belive this time last sunday i would've been gatehanging for you ,1754328411,2009-05-10 05:53:03,82,14,brookedanielle_
@tommcfly haha kwl... wish u wud play newcastle on the last date coz u always do something crazy on the last show  lol. cant grumble tho x,1754344584,2009-05-10 05:56:36,138,27,laurashizzwizz
"@tommcfly amazing tour! Literally shed blood, sweat and tears haha. Gutted it's over now  x",1754346355,2009-05-10 05:57:00,91,15,Sarah_Davey
"@tommcfly Can I just clarify that the last comment I sent, about Spanish Orals, means Spanish speaking exam. I got teased for saying it ",1754348683,2009-05-10 05:57:31,136,24,star_girlsophie
@tommcfly wish i was goin to cambridge! cant believe tours over im gutted  xx,1755026732,2009-05-10 08:03:33,77,14,ashley_l_carter
"@tommcfly Hey, get well soon!! Ive got a sore throat as well  lyl xx",1770890196,2009-05-11 22:32:26,68,14,McFlyXXDannyXX
@tommcfly aw  Hope you get better soon! xx,1771058345,2009-05-11 23:03:49,42,8,KimmiMcfly
"@tommcfly  I feel for you, man. when do you head out to South America? I hope you're well by then!",1771077678,2009-05-11 23:07:30,98,20,shakeitdangit
"@tommcfly Aww Tom, your up very early  i hope you get beter soon.. IF you havnt fnished Breaking Dawn yet you could?? reply =] xxx",1771103801,2009-05-11 23:12:26,130,25,_Jessss_
@tommcfly I had that about 2 weeks ago. It's horrible  hope you feel better soon x,1771107370,2009-05-11 23:13:07,82,16,McFfino
"@tommcfly Oh Tom, I'm so sorry! I wish you could be just fine... ",1771108303,2009-05-11 23:13:18,65,13,amandabr04
"@tommcfly U never get up this early!! wow, u must be really ill!!  ily xxx",1771112224,2009-05-11 23:14:01,74,15,Xx_McFLY_xX
"@tommcfly yes tom you mean mean party pooper! haha, sorry i have only just caught up on all your tweets. stupid time change!  xx",1793201201,2009-05-14 01:46:05,128,24,aussiemcflyfan
@gfalcone601 yes i'm okay thankyou yourself? i bet the party was good? @tommcfly has given me the cold ,1793220079,2009-05-14 01:50:34,103,18,Hattylovinmcfly
"@tommcfly Arwhh, feel better soon (Y) JLC wont be the same tonight though  I am in food tech atm ;) weeeheeyy  have a lovely walk. x x x",1793481936,2009-05-14 02:51:50,136,28,Tasha_MCFLY
@tommcfly wel im glad sum1s getin better...cz i feel rough as a bears arse! ,1793499691,2009-05-14 02:55:59,76,14,april1991
@tommcfly A lad in my class doesn't believe your the real Tom  I think you should tweet back because of the distress i am going through...,1793502208,2009-05-14 02:56:32,138,26,Tasha_MCFLY
@tommcfly I felt the same after I finished them aswell  you should try Reading his dark materials by Philip Pullman. Best books EVER,1793568573,2009-05-14 03:11:31,132,23,PoynterJones
"@tommcfly fave followers that is. We don't follow her face, haha. I hate iPhone predictive text ",1793583385,2009-05-14 03:14:57,96,16,JanaAlyssa
"@tommcfly Check out the Midnight Sun draft! Twilight from Edwards point of view. Its good, its a shame Stephenie Meyer has shelved it ",1793614091,2009-05-14 03:21:54,134,23,beccy1606
@tommcfly went to get ur dvd and didnt get it cuz it didnt cum it so unhappy now  ive it ordered online now so happy lol cnt wait #mcfly,1793648656,2009-05-14 03:29:54,136,29,tweety242
"@tommcfly It's just the fact you live across the sea, but I think I feel the same as you do..I think I'm getting the flue....NO! ",1793721982,2009-05-14 03:45:50,129,25,mcflyholland
@tommcfly not me ,1794742411,2009-05-14 06:28:10,17,3,Blondie141187
@tommcfly I cant i live in holland and I GOT to work ,1794772500,2009-05-14 06:31:45,53,12,duddettealicia
@tommcfly get well soon tom! Any of idea when the next uk tour will be?! Missin you guys already!  please reply ;)x,1794784518,2009-05-14 06:33:12,115,22,Leannexo
@tommcfly not me  I'm stuck on me lonesome in Southampton (but normally dont live too far away from MK) Hope you feel better soon. xx,1794822555,2009-05-14 06:37:46,133,25,CambridgePup
@tommcfly I'm going to MK but haven't got a wristband  have to go to the dentist first too ,1794867852,2009-05-14 06:43:06,91,18,RosieShort
"@tommcfly ..  nope,, the joys of being stuck at work in an office.. bad times",1794902841,2009-05-14 06:47:10,77,15,Lilwatling
"@tommcfly i cant , its way to far  if i had the train money i would goo all the way from caterham xxx",1794907361,2009-05-14 06:47:41,101,23,ELJmcfly
"@tommcfly HaHa!! Im Still In Bed,, I Feel So Lazy!!! I Do Feel Ill Tho  Tweet Me And Make My Day Plz,, Gutted I Cant Go To The Signing!! x",1794943772,2009-05-14 06:51:48,138,30,JellyBeans1991
"@tommcfly I must be invisible, because you never answer me :/ sorry, but this leaves me quite sad. ",1795226799,2009-05-14 07:23:34,99,18,carollyne_
"@tommcfly  you are not there for what I'm talking, I should really be invisible in your life ",1795259858,2009-05-14 07:27:12,93,17,carollyne_
"@tommcfly ok I give up! I always try to send messages to you, but you never answer me  you'll NEVER ansewr me right?",1795263728,2009-05-14 07:27:38,116,23,camila012
@tommcfly do you know if your coming back to plymouth on the next tour?? because i couldnt come to up close and personal ,1795403963,2009-05-14 07:42:46,121,23,mrs_DADJ
"@tommcfly i hate deal or no deal at the moment, clowns ",1796168473,2009-05-14 08:59:43,55,11,cassandROAR
@tommcfly feel better soon sweetheart  go back to sleep!!,1823612485,2009-05-16 22:27:23,57,9,ifyoucdenise
"@tommcfly awn Tom, im so sorry for you! you need to feel better soon ",1823623220,2009-05-16 22:29:19,69,14,mayskywalker
@tommcfly I sympathise with you.. I was in your place 2 weeks ago.. I can't believe you are still sick!! ,1823626153,2009-05-16 22:29:50,105,20,x_kelsey
@tommcfly get back to sleep...sleeping beauty  do u want some hot tea?,1823648022,2009-05-16 22:33:34,70,12,beer13
@tommcfly pleeeease get better   and take care of yourself to feel good 'till monday ok?,1823683226,2009-05-16 22:39:52,88,15,mayskywalker
@tommcfly i know what u mean! Being sick sucks!  im sick nw 2,1823780072,2009-05-16 22:57:54,61,13,MtRae
"@tommcfly agreed  being ill sucks i can hardly breath, havnt got any sleep! i dont wanna get quarentined at the airport :'/",1824380672,2009-05-17 01:08:08,123,22,joshuwaa
@tommcfly  ah get well soon! tweet the pain away haha,1824468886,2009-05-17 01:30:58,53,10,LauraKings
@tommcfly i woke up at like 4am coughing! how depressing is this ,1824499962,2009-05-17 01:38:58,65,12,jennypoynter
@tommcfly  Norway ,1824677231,2009-05-17 02:26:18,18,2,Lucy_McFLY
@tommcfly don't stay away from the uk too long ,1824684537,2009-05-17 02:28:20,47,9,jadedownes
@tommcfly NORWAY. i liked sweden ,1824726617,2009-05-17 02:39:38,33,5,samjaay
@tommcfly Tom can we feel poorly together? I can't breathe still ,1824826051,2009-05-17 03:06:16,65,11,BrookeDavis_x
@tommcfly Hey tom put me in plane with u and the guys i want back to brazil for see my family ,1824834679,2009-05-17 03:08:42,94,21,Jessomething
"@tommcfly ha ha , how it must feel to be so popular , I have nil point followers , it feels kinda sad  ha ha",1824841827,2009-05-17 03:10:41,108,25,davejemm
@tommcfly I sound a cross between  an 80 year old who's smoked 40 fags all her life and mr squeeky from toy story 2  ,1824916196,2009-05-17 03:30:48,117,24,amy__xx
(via @amy__xx) @tommcfly I sound a cross between an 80 year old who's smoked 40 fags all her life and mr squeeky from toy story 2  htt ...,1824933203,2009-05-17 03:35:18,138,28,xbetween
@tommcfly Norway won  - I actually voted for UK - you guys should've won!!,1825098862,2009-05-17 04:20:20,74,14,KamillaJones
"@tommcfly No. I can't enjoy your tweets, 'cause you never tweet me back ",1825210196,2009-05-17 04:49:01,72,13,little_anni
@tommcfly I think I've got your cold ,1826238511,2009-05-17 08:01:46,37,7,MyLittleDarling
@tommcfly we'll be waiting for you in Mexico ,1827067081,2009-05-17 09:55:25,45,8,kissaphobic
@tommcfly Why didn't you say you were on radio one today?! Didn't get to listen to you  xxx,1827343030,2009-05-17 10:30:39,91,18,McMousey
@tommcfly U're not coming  2 years waiting for this!! Damned flu!! Please don't forget us! Good luck with the Latinamerican tour. Love u!,1827520364,2009-05-17 10:53:08,137,23,CorMen
"@tommcfly Hi, Norway has winning Eurovision. I hope that United KIngdom has winning, but they don't  have a nice day ;) &lt;3 McFly",1827584018,2009-05-17 11:01:12,131,23,dagiefludd
"@tommcfly @dougiemcfly @dannymcfly @mcflyharry you guy were wicked on radio and tom, you were ill! Shame you didnt read my text though  x",1827649593,2009-05-17 11:09:25,137,23,Mcflying_Kim
@tommcfly i sent in 24 texts on radio 1 asking for you to say hi to me but you didnt ,1827683922,2009-05-17 11:13:47,85,20,mrs_DADJ
